Chinese name,Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,variant,Volume size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,nocturnal,total_4D,HP,melee attack,Remote attack,defense,support,Speed of work,Level1Min,Level1Max,Level20Min,Level20Max,Level50Min,Level50Max,AIRResponse,AISightResponse,endurance,slow walking speed,walking speed,running speed,Riding sprint speed,damage multiplier,catch rate,Experience multiplier,price,Must bring entry 1,Must bring entry 2,Numerical description,Skill description,lv1.1,lv2.1,lv3.1,lv4.1,lv5.1
"Naughty cat","Cattiva","PinkCat","None","None","None",1,"PinkCat","PinkCat",0,"XS",1,"generally","none","Humanoid","None","None",0,0,280,70,70,70,70,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,30,60,400,0,2,"1,5",1,1000,"timid","none","Increased weight bearing","If PinkCat is in the team, it will help carry luggage and increase the player's maximum weight limit.","50","60","70","80","90"
"Iron Fist Ape","Gorirat","Gorilla","None","None","None",1,"Gorilla","Gorilla",0,"S",5,"generally","none","Humanoid","None","None",0,0,385,90,110,95,90,100,100,107,109,242,285,456,563,"Warlike","0",100,66,100,550,0,1,1,1,2010,"rough","none","Attack power bonus%","After activation, the power of wildness will be released and Gorilla's attack power will be increased for a certain period of time.","50","75","110","150","200"
"Rock Crusher Turtle","Digtoise","DrillGame","None","None","None",1,"DrillGame","DrillGame",0,"M",5,"land","none","FourLegged","None","None",0,0,375,80,80,95,120,100,100,107,109,242,285,456,563,"Warlike","0",100,75,120,300,0,1,1,1,2980,"hard skin","none","Skill power multiplier","After launching, it will enter the Unique_DrillGame_ShellAttack state. It will follow the player as it spins, destroying ores efficiently.","1.1","1.3","1.6","2","2.5"
"fraternity lizard","Lovander","PinkLizard","None","None","None",1,"PinkLizard","PinkLizard",0,"L",5,"generally","none","Humanoid","None","None",0,1,330,120,70,70,70,140,100,105,106,205,236,362,441,"Warlike","0",100,90,170,750,0,1,1,1,2450,"Uncharacteristically","none","life drain %","When fighting alongside it, it can give the player and PinkLizard a life-stealing effect. This effect can absorb part of the damage when it is applied, and restore COMMON_STATUS_HP.","2","3","4","5","6"
"Kaigres","Warsect","HerculesBeetle","None","None","None",1,"HerculesBeetle","HerculesBeetle",0,"L",8,"land","Wood","Humanoid","None","None",0,0,440,120,100,100,120,100,100,107,109,250,295,475,587,"Warlike","0",100,55,110,500,0,1,1,1,6830,"hard skin","none","Defense bonus %","When fighting alongside it, the player's defense will be increased and the damage of elemental fire can be mitigated.","5","6","7","8","10"
"Anubis","Anubis","Anubis","None","None","None",1,"Anubis","Anubis",0,"M",10,"land","none","Humanoid","None","None",0,0,480,120,130,130,100,100,100,109,112,295,353,587,733,"Warlike","0",100,80,160,800,0,1,1,1,4960,"Yandi","none","Attack power bonus%","When fighting alongside it, it will grant the player's attacks elemental Earth. During combat, he will occasionally move at high speed to avoid attacks.","5","6","7","8","10"
"lily queen","Lyleen","LilyQueen","None","None","None",1,"LilyQueen","LilyQueen",1,"L",9,"Wood","none","Humanoid","None","None",0,0,425,110,100,110,105,100,100,108,110,265,314,512,636,"NotInterested","0",100,60,100,450,0,1,1,1,7160,"Elf King","none","treatment value","Once activated, the Queen's healing ability can be used to restore a large amount of health to the player.","1000","1100","1300","1600","2000"
"Pollux","Orserk","ThunderDragonMan","None","None","None",1,"ThunderDragonMan","ThunderDragonMan",1,"L",9,"dragon","electricity","Humanoid","None","None",0,0,430,100,100,130,100,100,100,109,112,295,353,587,733,"Warlike","0",100,100,185,900,0,1,1,1,8320,"Thunder Emperor","none","Drop increased by %_Water","When fighting alongside it, if you knock down the elemental Water's pallu, you can get more dropped items from that pallu.","40","50","60","70","80"
"sage pig","Rushoar","Boar","None","None","None",1,"Boar","Boar",0,"S",1,"land","none","FourLegged","None","None",0,0,320,80,100,70,70,100,100,105,106,205,236,362,441,"Warlike","0",100,70,150,450,700,"1,1",1,1,1680,"none","none","Mining bonus+","Can be moved around on its back. Destroying rocks while riding will be more efficient.","500","750","1100","1500","2000"
"hunting wolves","Direhowl","Garm","None","None","None",1,"Garm","Garm",0,"S",2,"generally","none","FourLegged","None","None",0,0,355,80,110,90,75,100,100,106,108,235,275,437,538,"Warlike","0",100,90,180,800,1050,1,1,1,1920,"none","none","Moving speed%","Can be moved around on its back. Movement speed while riding will be slightly faster.","0","10","12","15","20"
"Ye Panda","Mossanda","GrassPanda","None","None","None",1,"GrassPanda","GrassPanda",0,"L",6,"Wood","none","Humanoid","None","None",0,0,380,100,100,90,90,100,100,106,108,235,275,437,538,"Warlike","0",100,50,100,500,700,1,1,1,6200,"none","none","Skill power","Can be moved around on its back. It can also continuously attack with a grenade launcher while riding.","30","33","39","48","60"
"Lei Panda","Mossanda Lux","GrassPanda_Electric","None","None","None",1,"GrassPanda_Electric","GrassPanda_Electric",1,"L",7,"electricity","none","Humanoid","None","None",0,0,400,100,100,100,100,100,100,107,109,250,295,475,587,"Warlike","0",100,50,100,500,700,1,1,1,6610,"none","none","Skill power","Can be moved around on its back. It can also continuously attack with a grenade launcher while riding.","30","33","39","48","60"
"Melupa","Melpaca","Alpaca","None","None","None",1,"Alpaca","Alpaca",0,"M",3,"generally","none","FourLegged","None","None",0,0,345,90,90,75,90,100,100,105,107,212,246,381,465,"Escape_to_Battle","0",100,62,62,460,800,"1,1",1,1,2740,"none","none","Ranch skills","Can be moved around on its back. Assign it to Palu Ranch and it will have a chance to drop Wool.","0","0","0","0","0"
"Zixia Deer","Eikthyrdeer","Deer","None","None","None",1,"Deer","Deer",0,"L",4,"generally","none","FourLegged","None","None",0,0,325,95,70,80,80,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,80,120,700,900,1,1,1,2620,"none","none","Logging bonus+","Can be moved around on its back. You can perform two jumps while riding, and the efficiency of destroying trees will be higher.","220","260","320","400","500"
"Only a deer","Eikthyrdeer Terra","Deer_Ground","None","None","None",1,"Deer_Ground","Deer_Ground",1,"L",6,"land","none","FourLegged","None","None",0,0,325,95,70,80,80,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,80,120,700,900,1,1,1,2680,"none","none","Logging bonus+","Can be moved around on its back. You can perform two jumps while riding, and the efficiency of destroying trees will be higher.","220","260","320","400","500"
"Swift Falcon","Nitewing","HawkBird","None","None","None",1,"HawkBird","HawkBird",0,"L",3,"generally","none","Bird","None","None",0,0,375,100,100,95,80,100,100,107,109,242,285,456,563,"NotInterested","0",100,150,150,600,750,1,1,1,6300,"none","none","Moving speed%","You can ride on its back and fly in the air.","0","10","12","15","20"
"Blazing Ox","Arsox","FlameBuffalo","None","None","None",1,"FlameBuffalo","FlameBuffalo",0,"M",4,"fire","none","FourLegged","None","None",0,0,375,85,100,95,95,100,100,107,109,242,285,456,563,"Warlike","0",100,87,87,600,800,1,1,1,3520,"none","none","Moving speed%","Can be moved around on its back. You won’t feel the chill while riding and it’s quite warm.","0","10","12","15","20"
"Laughing Nightmare Cat","Grintale","NaughtyCat","None","None","None",1,"NaughtyCat","NaughtyCat",0,"L",6,"generally","none","FourLegged","None","None",0,0,370,110,100,80,80,100,100,106,107,220,256,400,490,"Friendly","0",100,32,64,600,800,1,1,1,5510,"none","none","Elemental power bonus%_Normal","Can be moved around on its back. Elemental Normal attacks during riding will be strengthened.","50","55","65","80","100"
"Dad Mao","Sweepa","MopKing","None","None","None",1,"MopKing","MopKing",0,"L",6,"ice","none","Other","None","None",0,0,380,100,100,90,90,100,100,106,108,235,275,437,538,"Escape_to_Battle","0",100,60,120,300,500,1,1,1,6400,"none","none","Attack power bonus%","Can be moved around on its back. When fighting alongside it, the more MopBabys in the team, the more its attributes will improve.","0","5","6","7","8"
"Whirling Weasel","Chillet","WeaselDragon","None","None","None",1,"WeaselDragon","WeaselDragon",0,"M",4,"ice","dragon","FourLegged","None","None",0,0,350,90,100,80,80,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,100,180,600,800,1,1,1,3450,"none","none","Attack power bonus%","Can be moved around on its back. While mounted it will grant the player's attacks the elemental Dragon.","50","55","65","80","100"
"thunder wildebeest","Univolt","Kirin","None","None","None",1,"Kirin","Kirin",0,"M",5,"electricity","none","FourLegged","None","None",0,0,400,80,110,105,105,100,100,107,110,257,304,493,611,"NotInterested","0",100,80,130,720,1100,1,"0,9",1,4280,"none","none","Attack power bonus%","Can be moved around on its back. While mounted it will grant elemental Electricity to the player's attacks.","50","55","65","80","100"
"fire unicorn","Pyrin","FireKirin","None","None","None",1,"FireKirin","FireKirin",0,"L",6,"fire","none","FourLegged","None","None",0,0,395,100,110,95,90,100,100,107,109,242,285,456,563,"Warlike","0",100,100,150,850,1300,1,1,1,6720,"none","none","Attack power bonus%","Can be moved around on its back. While mounted it will grant elemental Fire to the player's attacks.","50","55","65","80","100"
"evil unicorn","Pyrin Noct","FireKirin_Dark","None","None","None",1,"FireKirin_Dark","FireKirin_Dark",1,"L",7,"fire","dark","FourLegged","None","None",0,1,395,100,110,95,90,100,100,107,109,242,285,456,563,"Warlike","0",100,100,150,850,1300,1,1,1,7270,"none","none","Attack power bonus%","Can be moved around on its back. While mounted, it will grant elemental Dark to the player's attacks.","50","55","65","80","100"
"Deer in severe winter","Reindrix","IceDeer","None","None","None",1,"IceDeer","IceDeer",0,"M",4,"ice","none","FourLegged","None","None",0,0,375,100,80,85,110,100,100,106,108,227,265,418,514,"Warlike","0",100,35,70,550,700,1,1,1,2800,"none","none","Moving speed%","Can be moved around on its back. You won't feel the heat during the ride and it's quite cool.","0","10","12","15","20"
"thunder dog","Rayhound","ThunderDog","None","None","None",1,"ThunderDog","ThunderDog",0,"M",5,"electricity","none","FourLegged","None","None",0,0,370,90,100,100,80,100,100,107,109,250,295,475,587,"Warlike","0",100,110,210,700,1150,1,1,1,3880,"none","none","Moving speed%","Can be moved around on its back. Two jumps are possible during the ride.","0","10","12","15","20"
"Blue Flame Wolf","Kitsun","AmaterasuWolf","None","None","None",1,"AmaterasuWolf","AmaterasuWolf",0,"M",6,"fire","none","FourLegged","None","None",0,0,385,100,70,115,100,110,100,108,111,272,324,531,660,"NotInterested","0",100,80,130,700,900,1,1,1,3170,"none","none","Moving speed%","Can be moved around on its back. You won't be affected by cold or heat while riding.","0","10","12","15","20"
"Corolla dragon","Dinossom","FlowerDinosaur","None","None","None",1,"FlowerDinosaur","FlowerDinosaur",0,"L",6,"Wood","dragon","Humanoid","None","None",0,0,375,110,90,85,90,150,100,106,108,227,265,418,514,"Friendly","0",100,70,120,550,700,1,1,1,3240,"none","none","Elemental power bonus%_Leaf","Can be moved around on its back. Elemental Leaf attacks during riding will be strengthened.","50","55","65","80","100"
"Thunder Guanlong","Dinossom Lux","FlowerDinosaur_Electric","None","None","None",1,"FlowerDinosaur_Electric","FlowerDinosaur_Electric",1,"L",7,"electricity","dragon","Humanoid","None","None",0,0,380,110,90,90,90,150,100,106,108,235,275,437,538,"Friendly","0",100,70,120,550,700,1,1,1,3380,"none","none","Elemental power bonus%_Electricity","Can be moved around on its back. Elemental Electricity attacks during riding will be strengthened.","50","55","65","80","100"
"water-sliding snake","Surfent","Serpent","None","None","None",1,"Serpent","Serpent",0,"M",4,"water","none","Fish","None","None",0,0,330,90,70,90,80,100,100,106,108,235,275,437,538,"Warlike","0",100,100,200,500,650,1,1,1,5050,"none","none","Moving speed%","Can ride on its back and move through the water. Moving on water while riding does not consume stamina.","0","10","12","15","20"
"quicksand snake","Surfent Terra","Serpent_Ground","None","None","None",1,"Serpent_Ground","Serpent_Ground",1,"M",5,"land","none","Fish","None","None",0,0,350,90,70,90,100,100,100,106,108,235,275,437,538,"Warlike","0",100,100,200,500,650,1,1,1,5140,"none","none","Moving speed%","Can be moved around on its back.","0","10","12","15","20"
"Soul Eater","Maraith","GhostBeast","None","None","None",1,"GhostBeast","GhostBeast",0,"M",6,"dark","none","FourLegged","None","None",0,1,310,75,50,105,80,100,100,107,110,257,304,493,611,"Warlike","0",100,100,160,600,800,1,1,1,1570,"none","none","Attack power bonus%","Can be moved around on its back. While mounted, it will grant elemental Dark to the player's attacks.","50","55","65","80","100"
"Fenggelong","Vanwyrm","BirdDragon","None","None","None",1,"BirdDragon","BirdDragon",0,"L",4,"fire","dark","Bird","None","None",0,1,395,90,100,115,90,100,100,108,111,272,324,531,660,"Warlike","0",150,100,350,700,850,1,1,1,4360,"none","none","Weakness bonus %","You can ride on its back and fly in the air. Attacking the enemy's weak points while riding can cause more damage.","20","22","26","32","40"
"Frost Song Dragon","Vanwyrm Cryst","BirdDragon_Ice","None","None","None",1,"BirdDragon_Ice","BirdDragon_Ice",1,"L",5,"ice","dark","Bird","None","None",0,1,405,90,100,120,95,100,100,109,111,280,334,550,685,"Warlike","0",150,100,350,700,850,1,1,1,4610,"none","none","Weakness bonus %","You can ride on its back and fly in the air. Attacking the enemy's weak points while riding can cause more damage.","20","22","26","32","40"
"Thunderbird","Beakon","ThunderBird","None","None","None",1,"ThunderBird","ThunderBird",0,"L",6,"electricity","none","Bird","None","None",0,0,400,105,100,115,80,100,100,108,111,272,324,531,660,"Warlike","0",160,100,200,750,1200,1,1,1,7490,"none","none","Attack power bonus%","You can ride on its back and fly in the air. While mounted it will grant elemental Electricity to the player's attacks.","50","55","65","80","100"
"Flamingo","Ragnahawk","RedArmorBird","None","None","None",1,"RedArmorBird","RedArmorBird",0,"L",7,"fire","none","Bird","None","None",0,0,420,95,100,105,120,100,100,107,110,257,304,493,611,"Warlike","0",150,100,200,800,1300,1,1,1,6720,"none","none","Attack power bonus%","You can ride on its back and fly in the air. While mounted it will grant elemental Fire to the player's attacks.","50","55","65","80","100"
"Faerie Dragon","Elphidran","FairyDragon","None","None","None",1,"FairyDragon","FairyDragon",0,"L",7,"dragon","none","Humanoid","None","None",0,0,360,110,80,80,90,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",130,83,83,630,800,1,1,1,5230,"none","none","Drop increased by %_Dark","You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Dark's pallu, you can get more dropped items from that pallu.","40","50","60","70","80"
"Water Spirit Dragon","Elphidran Aqua","FairyDragon_Water","None","None","None",1,"FairyDragon_Water","FairyDragon_Water",1,"L",8,"dragon","water","Humanoid","None","None",0,0,370,115,80,80,95,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",130,83,83,630,800,1,1,1,5320,"none","none","Drop increased by %_Fire","You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Fire's pallu, you can get more dropped items from that pallu.","40","50","60","70","80"
"Bihailong","Azurobe","BlueDragon","None","None","None",1,"BlueDragon","BlueDragon",0,"L",7,"water","dragon","Fish","None","None",0,0,380,110,70,100,100,100,100,107,109,250,295,475,587,"Escape_to_Battle","0",100,75,150,600,800,1,1,1,5600,"none","none","Attack power bonus%","Can ride on its back and move around on water. While mounted, it will grant elemental Water to the player's attacks.","50","55","65","80","100"
"Hellfire King","Blazehowl","Manticore","None","None","None",1,"Manticore","Manticore",0,"L",7,"fire","none","FourLegged","None","None",0,0,395,105,100,110,80,100,100,108,110,265,314,512,636,"Warlike","0",100,90,180,750,900,1,1,1,4040,"none","none","Drop increased by %_Leaf","Can be moved around on its back. When fighting side by side with it, if you knock down the elemental Leaf's pallu, you can get more dropped items from that pallu.","40","50","60","70","80"
"Hell King","Blazehowl Noct","Manticore_Dark","None","None","None",1,"Manticore_Dark","Manticore_Dark",1,"L",8,"fire","dark","FourLegged","None","None",0,1,400,105,100,115,80,100,100,108,111,272,324,531,660,"Warlike","0",100,60,90,750,900,1,1,1,4360,"none","none","Drop increase%_Normal","Can be moved around on its back. When fighting side by side with it, if you knock down the elemental Normal's Palu, you can get more dropped items from that Pallu.","40","50","60","70","80"
"Pecorone","Relaxaurus","LazyDragon","None","None","None",1,"LazyDragon","LazyDragon",0,"XL",8,"dragon","water","Monster","None","None",0,0,390,110,110,100,70,100,100,107,109,250,295,475,587,"Warlike","0",100,40,60,650,800,1,1,1,10240,"Greedy","none","Skill power","Can be moved around on its back. It can also continuously attack with its missile launcher while riding.","10","11","13","16","20"
"Parker","Relaxaurus Lux","LazyDragon_Electric","None","None","None",1,"LazyDragon_Electric","LazyDragon_Electric",1,"XL",9,"dragon","electricity","Monster","None","None",0,0,405,110,110,110,75,100,100,108,110,265,314,512,636,"Warlike","0",100,40,60,650,800,1,1,1,10380,"none","none","Skill power","Can be moved around on its back. It can also continuously attack with its missile launcher while riding.","10","11","13","16","20"
"Lian Lilong","Broncherry","SakuraSaurus","None","None","None",1,"SakuraSaurus","SakuraSaurus",0,"XL",7,"Wood","none","FourLegged","None","None",0,0,390,120,80,90,100,120,100,106,108,235,275,437,538,"NotInterested","0",100,50,75,350,500,1,1,1,2920,"none","none","Increased weight bearing","Can be moved around on its back. If SakuraSaurus is in the team, it will help carry luggage and increase the player's maximum weight limit.","100","110","120","130","140"
"Allother","Broncherry Aqua","SakuraSaurus_Water","None","None","None",1,"SakuraSaurus_Water","SakuraSaurus_Water",1,"XL",8,"Wood","water","FourLegged","None","None",0,0,395,120,80,95,100,120,100,107,109,242,285,456,563,"NotInterested","0",100,50,75,350,500,1,1,1,3110,"none","none","Increased weight bearing","Can be moved around on its back. If SakuraSaurus_Water is in the team, it will help carry luggage and increase the player's upper limit of weight.","100","110","120","130","140"
"Lava Beast","Reptyro","VolcanicMonster","None","None","None",1,"VolcanicMonster","VolcanicMonster",0,"L",6,"fire","land","FourLegged","None","None",0,0,435,110,100,105,120,100,100,107,110,257,304,493,611,"Warlike","0",100,50,80,390,550,1,1,1,6940,"none","none","Mining bonus+","Can be moved around on its back. Destroying ore will be more efficient while riding.","500","750","1100","1500","2000"
"Frost Beast","Ice Reptyro","VolcanicMonster_Ice","None","None","None",1,"VolcanicMonster_Ice","VolcanicMonster_Ice",1,"L",7,"ice","land","FourLegged","None","None",0,0,445,110,100,105,130,100,100,107,110,257,304,493,611,"Warlike","0",100,50,80,390,550,1,1,1,7380,"none","none","Mining bonus+","Can be moved around on its back. Destroying ore will be more efficient while riding.","500","750","1100","1500","2000"
"King Melupa","Kingpaca","KingAlpaca","None","None","None",1,"KingAlpaca","KingAlpaca",0,"XL",8,"generally","none","FourLegged","None","None",0,0,395,120,100,85,90,100,100,106,108,227,265,418,514,"Escape_to_Battle","0",100,80,80,500,700,1,1,1,5800,"none","none","Increased weight bearing","Can be moved around on its back. If KingAlpaca is in the team, it will help carry luggage and increase the player's maximum weight limit.","100","110","120","130","140"
"Ice Emperor Melpa","Ice Kingpaca","KingAlpaca_Ice","None","None","None",1,"KingAlpaca_Ice","KingAlpaca_Ice",1,"XL",9,"ice","none","FourLegged","None","None",0,0,395,120,100,85,90,100,100,106,108,227,265,418,514,"Escape_to_Battle","0",100,80,80,500,700,1,1,1,6100,"none","none","Increased weight bearing","Can be moved around on its back. If KingAlpaca_Ice is in the team, it will help carry luggage and increase the player's maximum weight limit.","100","110","120","130","140"
"Mammoth","Mammorest","GrassMammoth","None","None","None",1,"GrassMammoth","GrassMammoth",0,"XL",8,"Wood","none","FourLegged","None","None",0,0,425,150,100,85,90,30,100,106,108,227,265,418,514,"NotInterested","0",100,100,135,430,600,1,1,1,9450,"none","none","Mining bonus+","Can be moved around on its back. Destroying trees and ores while riding will be more efficient.","500","750","1100","1500","2000"
"snow mammoth","Mammorest Cryst","GrassMammoth_Ice","None","None","None",1,"GrassMammoth_Ice","GrassMammoth_Ice",1,"XL",9,"ice","none","FourLegged","None","None",0,0,425,150,100,85,90,30,100,106,108,227,265,418,514,"NotInterested","0",100,100,135,430,600,1,1,1,9580,"none","none","Mining bonus+","Can be moved around on its back. Destroying trees and ores while riding will be more efficient.","500","750","1100","1500","2000"
"White Velvet Snow Monster","Wumpo","Yeti","None","None","None",1,"Yeti","Yeti",0,"L",7,"ice","none","Humanoid","None","None",0,0,420,140,100,80,100,100,100,106,107,220,256,400,490,"Warlike","0",100,70,100,365,550,1,1,1,5900,"none","none","Increased weight bearing","Can be moved around on its back. If Yeti is in the team, it will help carry luggage and increase the player's maximum weight limit.","120","130","140","150","160"
"Green Moss Velvet","Wumpo Botan","Yeti_Grass","None","None","None",1,"Yeti_Grass","Yeti_Grass",0,"L",8,"Wood","none","Humanoid","None","None",0,0,430,140,100,80,110,100,100,106,107,220,256,400,490,"Warlike","0",100,70,100,365,550,1,1,1,5700,"none","none","Increased weight bearing","Can be moved around on its back. If Yeti_Grass is in the team, it will help carry luggage and increase the player's maximum weight limit.","120","130","140","150","160"
"Cloud sea deer","Fenglope","FengyunDeeper","None","None","None",1,"FengyunDeeper","FengyunDeeper",0,"S",3,"generally","none","FourLegged","None","None",0,0,420,110,110,110,90,100,100,108,110,265,314,512,636,"NotInterested","0",100,85,100,750,1050,1,1,1,2250,"none","none","Moving speed%","Can be moved around on its back. Two jumps are possible during the ride.","0","10","12","15","20"
"Tianyulong","Quivern","SkyDragon","None","None","None",1,"SkyDragon","SkyDragon",0,"L",7,"dragon","none","Dragon","None","None",0,0,405,105,100,100,100,100,100,107,109,250,295,475,587,"NotInterested","0",220,120,240,800,950,1,1,1,6830,"none","none","Elemental power bonus%_Dragon","You can ride on its back to fly in the air, and your elemental Dragon attacks will be strengthened while riding.","50","55","65","80","100"
"Flame Glory","Blazamut","KingBahamut","None","None","None",1,"KingBahamut","KingBahamut",0,"XL",9,"fire","none","FourLegged","None","None",0,0,495,100,150,125,120,50,100,109,112,287,343,568,709,"Warlike","0",100,150,400,700,900,1,1,1,10520,"Emperor Yan","none","Elemental power bonus%_Fire","Can be moved around on its back. Elemental Fire attacks during riding will be strengthened.","50","55","65","80","100"
"Thunderbird","Helzephyr","HadesBird","None","None","None",1,"HadesBird","HadesBird",0,"L",7,"dark","none","Bird","None","None",0,1,425,100,100,125,100,100,100,109,112,287,343,568,709,"Warlike","0",170,100,100,700,1100,1,1,1,7840,"none","none","Attack power bonus%","You can ride on its back and fly in the air. While mounted, it will grant elemental Dark to the player's attacks.","50","55","65","80","100"
"Demon Dragon","Astegon","BlackMetalDragon","None","None","None",1,"BlackMetalDragon","BlackMetalDragon",0,"XL",9,"dragon","dark","Monster","None","None",0,1,450,100,100,125,125,100,100,109,112,287,343,568,709,"Warlike","0",300,100,150,600,800,1,1,1,8200,"hard skin","none","Mining bonus+","You can ride on its back and fly in the air. Can cause greater damage to ores while riding.","1100","1500","2000","2600","3300"
"Sea-covering dragon","Jormuntide","Umihebi","None","None","None",1,"Umihebi","Umihebi",0,"XL",8,"dragon","water","Fish","None","None",0,0,500,130,150,120,100,100,100,109,111,280,334,550,685,"Warlike","0",100,100,175,525,700,1,1,1,9320,"Neptune","none","Moving speed%","Can ride on its back and move through the water. Moving on water while riding does not consume stamina.","0","10","12","15","20"
"Teng Yanlong","Jormuntide Ignis","Umihebi_Fire","None","None","None",1,"Umihebi_Fire","Umihebi_Fire",1,"XL",9,"dragon","fire","Fish","None","None",0,0,510,130,150,130,100,100,100,109,112,295,353,587,733,"Warlike","0",100,100,175,525,700,1,1,1,9500,"none","none","Elemental power bonus%_Fire","Can be moved around on its back. Elemental Fire attacks during riding will be strengthened.","50","55","65","80","100"
"Suzaku","Suzaku","Suzaku","None","None","None",1,"Suzaku","Suzaku",0,"XL",8,"fire","none","Bird","None","None",0,0,430,120,100,105,105,100,100,107,110,257,304,493,611,"Warlike","0",280,100,200,850,1100,1,1,1,9840,"none","none","Elemental power bonus%_Fire","You can ride on its back to fly in the air, and your elemental Fire attacks will be strengthened while riding.","50","55","65","80","100"
"Qingque","Suzaku Aqua","Suzaku_Water","None","None","None",1,"Suzaku_Water","Suzaku_Water",1,"XL",9,"water","none","Bird","None","None",0,0,435,125,100,105,105,100,100,107,110,257,304,493,611,"Warlike","0",280,100,200,850,1100,1,1,1,10110,"none","none","Elemental power bonus%_Water","You can ride on its back to fly in the air, and your elemental Water attack will be strengthened while riding.","50","55","65","80","100"
"Lightning Bear","Grizzbolt","ElecPanda","None","None","None",1,"ElecPanda","ElecPanda",1,"L",8,"electricity","none","Humanoid","None","None",0,0,425,105,120,100,100,100,100,107,109,250,295,475,587,"Warlike","0",100,80,140,470,550,1,1,1,7720,"none","none","Skill power","Can be moved around on its back. While mounted, it can also continuously attack with its machine gun.","6","6.6","7.8","9.6","12"
"Horus","Faleris","Horus","None","None","None",1,"Horus","Horus",1,"L",9,"fire","none","Bird","None","None",0,0,415,100,100,105,110,90,100,107,110,257,304,493,611,"Warlike","0",230,150,200,1000,1400,1,1,1,6720,"none","none","Drop increased by %_Ice","You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Ice's pallu, you can get more dropped items from that pallu.","40","50","60","70","80"
"Heterogeneous Griffin","Shadowbeak","BlackGriffon","None","None","None",1,"BlackGriffon","BlackGriffon",1,"L",10,"dark","none","FourLegged","None","None",0,1,510,120,130,120,140,90,100,109,111,280,334,550,685,"Warlike","0",250,80,80,850,1200,1,1,1,9060,"none","none","Elemental power bonus%_Dark","You can ride on its back and fly in the air. Elemental Dark attacks during riding will be strengthened.","50","55","65","80","100"
"Knight of Light","Paladius","SaintCentaur","None","None","None",1,"SaintCentaur","SaintCentaur",1,"L",20,"generally","none","FourLegged","None","None",0,0,505,130,110,120,145,100,100,109,111,280,334,550,685,"Warlike","0",100,50,100,800,1400,1,1,1,8810,"legend","holy day","Moving speed%","Can be moved around on its back. Three jumps are possible during the ride.","0","10","12","15","20"
"Chaos Knight","Necromus","BlackCentaur","None","None","None",1,"BlackCentaur","BlackCentaur",1,"L",20,"dark","none","FourLegged","None","None",0,1,495,130,100,145,120,100,100,110,114,317,382,643,806,"Warlike","0",100,100,350,900,1600,1,1,1,8930,"legend","Hades","Moving speed%","Can be moved around on its back. Two jumps are possible during the ride.","0","10","12","15","20"
"Winter Caller","Frostallion","IceHorse","None","None","None",1,"IceHorse","IceHorse",1,"L",20,"ice","none","FourLegged","None","None",0,0,500,140,100,140,120,70,100,110,113,310,373,625,782,"Escape_to_Battle","0",300,120,120,1000,1500,1,1,1,8440,"legend","ice King","Elemental power bonus%_Ice","You can ride on its back and fly in the air. During the ride, the player's attacks will be transformed into elemental ice, and the elemental ice's attacks will be strengthened.","50","55","65","80","100"
"Night Caller","Frostallion Noct","IceHorse_Dark","None","None","None",1,"IceHorse_Dark","IceHorse_Dark",1,"L",20,"dark","none","FourLegged","None","None",0,1,515,140,100,140,135,70,100,110,113,310,373,625,782,"Escape_to_Battle","0",300,120,120,1000,1500,1,1,1,8560,"legend","none","Elemental power bonus%_Dark","You can ride on its back and fly in the air. During riding, the player's attacks will be transformed into elemental Dark, and the attacks of elemental Dark will be strengthened.","50","55","65","80","100"
"Vortex Dragon","Jetragon","JetDragon","None","None","None",1,"JetDragon","JetDragon",1,"XL",20,"dragon","none","Dragon","None","None",0,0,460,110,100,140,110,100,100,110,113,310,373,625,782,"Warlike","0",100,600,800,1700,3300,1,1,1,8680,"legend","Shenlong","Skill power","You can ride on its back and fly in the air. It can also continuously attack with its missile launcher while riding.","13","14.3","16.9","20.9","26"
